,frame_idx,x,y,width,height,is_bball,shot_idx
3245,1229,545,353.0,18,25,True,5
3540,1365,225,301.0,31,39,True,6
3542,1366,218,291.0,33,30,True,6
3544,1367,211,283.0,33,35,True,6
3545,1368,202,278.0,36,39,True,6
3548,1371,188,264.0,30,33,True,6
3559,1376,222,195.0,29,30,True,6
3561,1377,237,174.0,31,30,True,6
3562,1378,254,153.0,28,30,True,6
3563,1379,270,135.0,30,29,True,6
3565,1380,285,117.0,30,30,True,6
3567,1381,300,102.0,30,28,True,6
3570,1382,316,87.0,29,29,True,6
3573,1383,333,74.0,27,29,True,6
3575,1384,345,63.0,30,27,True,6
3577,1385,361,52.0,28,28,True,6
3578,1386,377,44.0,26,22,True,6
3579,1387,392,34.0,26,27,True,6
3580,1388,407,27.0,24,27,True,6
3581,1389,423,21.0,23,29,True,6
3582,1390,433,17.0,20,25,True,6
3583,1391,449,14.0,23,26,True,6
3584,1392,465,11.0,24,27,True,6
3585,1393,490,10.0,27,27,True,6
3586,1394,504,11.0,27,25,True,6
3587,1395,518,14.0,27,27,True,6
3589,1396,533,18.0,27,29,True,6
3591,1397,547,22.0,27,29,True,6
3593,1398,565,28.0,23,27,True,6
3595,1399,576,35.0,26,29,True,6
3597,1400,590,43.0,26,27,True,6
3600,1401,603,52.0,27,28,True,6
3602,1402,618,64.0,26,26,True,6
3604,1403,632,75.0,24,27,True,6
3606,1404,649,90.0,23,24,True,6
3608,1405,665,99.0,23,29,True,6
3611,1407,681,109.0,26,15,True,6
3613,1408,683,105.0,34,38,True,6
3615,1409,698,106.0,26,36,True,6
3617,1410,704,106.0,17,31,True,6
3622,1413,726,91.0,14,25,True,6
3625,1414,719,85.0,22,25,True,6
3627,1415,723,83.0,20,16,True,6
3642,1424,721,81.0,20,12,True,6
3654,1428,707,105.0,28,10,True,6
4180,1633,197,265.0,34,33,True,7
4191,1638,233,197.0,32,28,True,7
4193,1639,251,176.0,30,26,True,7
4194,1640,268,156.0,31,29,True,7
4195,1641,285,139.0,30,27,True,7
4196,1642,303,122.0,28,28,True,7
4198,1643,317,107.0,30,29,True,7
4201,1644,334,93.0,29,29,True,7
4204,1645,350,81.0,30,30,True,7
4207,1646,366,69.0,29,29,True,7
4209,1647,381,60.0,29,28,True,7
4210,1648,399,51.0,27,27,True,7
4211,1649,413,45.0,29,28,True,7
4212,1650,428,37.0,29,30,True,7
4213,1651,445,33.0,29,25,True,7
4214,1652,475,28.0,28,26,True,7
4215,1653,492,25.0,27,23,True,7
4216,1654,506,25.0,28,22,True,7
4217,1655,522,25.0,26,24,True,7
4218,1656,537,28.0,24,27,True,7
4219,1657,552,31.0,26,20,True,7
4221,1658,568,35.0,26,29,True,7
4224,1659,584,40.0,27,26,True,7
4227,1660,600,47.0,26,23,True,7
4229,1661,619,54.0,23,21,True,7
4231,1662,633,63.0,24,23,True,7
4233,1663,649,73.0,23,26,True,7
4235,1664,667,84.0,21,24,True,7
4237,1665,678,96.0,26,25,True,7
4239,1666,696,109.0,23,29,True,7
4241,1667,710,124.0,24,27,True,7
4243,1668,713,133.0,30,28,True,7
4816,1889,239,187.0,32,28,True,8
4818,1890,256,166.0,28,29,True,8
4819,1891,272,147.0,31,28,True,8
4820,1892,289,128.0,30,30,True,8
4821,1893,304,111.0,30,29,True,8
4823,1894,320,96.0,29,28,True,8
4826,1895,335,81.0,30,29,True,8
4829,1896,351,68.0,29,27,True,8
4831,1897,365,57.0,30,27,True,8
4833,1898,380,47.0,29,25,True,8
4834,1899,395,38.0,28,23,True,8
4835,1900,411,30.0,27,27,True,8
4836,1901,427,23.0,25,27,True,8
4837,1902,442,17.0,25,26,True,8
4838,1903,456,13.0,25,28,True,8
4839,1904,468,9.0,28,26,True,8
4840,1905,482,0.0,28,34,True,8
4841,1906,498,0.0,27,36,True,8
4842,1907,513,0.0,26,32,True,8
4844,1908,526,8.0,27,28,True,8
4846,1909,540,12.0,27,28,True,8
4849,1910,555,14.0,27,28,True,8
4851,1911,583,25.0,28,29,True,8
4853,1912,599,31.0,24,29,True,8
4855,1913,612,41.0,27,20,True,8
4857,1914,627,49.0,26,28,True,8
4859,1915,641,62.0,28,25,True,8
4861,1916,656,71.0,28,27,True,8
4863,1917,673,85.0,26,17,True,8
4865,1918,692,100.0,21,25,True,8
4867,1919,702,114.0,25,27,True,8
4869,1920,717,130.0,27,25,True,8
5447,2155,168,370.0,22,22,True,9
5458,2165,192,278.0,22,27,True,9
5470,2171,221,196.0,30,29,True,9
5471,2172,235,175.0,31,29,True,9
5472,2173,252,155.0,29,29,True,9
5473,2174,266,136.0,29,28,True,9
5474,2175,281,119.0,27,28,True,9
5476,2176,295,103.0,30,29,True,9
5479,2177,310,89.0,29,28,True,9
5482,2178,326,75.0,27,28,True,9
5484,2179,339,65.0,29,27,True,9
5486,2180,354,53.0,28,27,True,9
5487,2181,369,44.0,27,28,True,9
5488,2182,384,35.0,26,27,True,9
5489,2183,395,28.0,29,28,True,9
5490,2184,410,22.0,28,26,True,9
5491,2185,425,18.0,26,28,True,9
5492,2186,436,14.0,29,24,True,9
5493,2187,450,11.0,28,25,True,9
5494,2188,464,10.0,28,25,True,9
5495,2189,478,11.0,27,25,True,9
5496,2190,491,12.0,21,25,True,9
5498,2191,504,14.0,25,27,True,9
5500,2192,518,17.0,26,28,True,9
5503,2193,532,23.0,26,29,True,9
5506,2194,545,28.0,27,29,True,9
5508,2195,560,35.0,23,29,True,9
5510,2196,575,45.0,21,27,True,9
5512,2197,590,52.0,25,28,True,9
5514,2198,607,63.0,23,22,True,9
5516,2199,631,87.0,29,30,True,9
5518,2200,646,104.0,28,27,True,9
5520,2201,661,117.0,27,25,True,9
5522,2202,674,137.0,28,23,True,9
5525,2204,703,180.0,25,19,True,9
6336,2504,222,294.0,34,33,True,10
6337,2505,216,287.0,34,41,True,10
6338,2506,207,282.0,29,41,True,10
6341,2509,194,269.0,34,35,True,10
6352,2514,240,194.0,30,28,True,10
6353,2515,256,174.0,29,28,True,10
6354,2516,288,137.0,30,28,True,10
6356,2517,304,122.0,29,29,True,10
6359,2518,319,108.0,30,27,True,10
6363,2519,334,93.0,30,29,True,10
6366,2520,349,81.0,30,29,True,10
6368,2521,364,70.0,29,29,True,10
6369,2522,380,61.0,28,28,True,10
6370,2523,397,52.0,26,26,True,10
6371,2524,410,44.0,26,29,True,10
6372,2525,428,38.0,22,28,True,10
6373,2526,440,33.0,25,24,True,10
6374,2527,458,29.0,21,26,True,10
6375,2528,472,26.0,22,26,True,10
6376,2529,480,24.0,28,24,True,10
6377,2530,496,23.0,28,24,True,10
6378,2531,511,24.0,27,25,True,10
6379,2532,524,26.0,28,25,True,10
6380,2533,541,28.0,24,30,True,10
6381,2534,554,32.0,25,28,True,10
6382,2535,568,38.0,28,29,True,10
6383,2536,585,44.0,24,28,True,10
6384,2537,599,51.0,27,20,True,10
6385,2538,613,60.0,28,27,True,10
6386,2539,629,70.0,27,27,True,10
6387,2540,644,82.0,27,26,True,10
6388,2541,662,94.0,25,27,True,10
6389,2542,678,102.0,24,33,True,10
6394,2544,667,97.0,29,25,True,10
6396,2545,659,85.0,12,27,True,10
6398,2546,655,86.0,13,16,True,10
6404,2550,656,82.0,11,13,True,10
6406,2551,636,82.0,27,25,True,10
6408,2552,631,82.0,28,28,True,10
6410,2553,625,85.0,31,31,True,10
6412,2554,622,99.0,28,23,True,10
6413,2555,619,100.0,27,29,True,10
6414,2556,617,107.0,27,33,True,10
6415,2557,609,117.0,31,33,True,10
6416,2558,605,129.0,33,33,True,10
6418,2559,601,145.0,32,30,True,10
6420,2560,596,163.0,34,29,True,10
6422,2561,593,177.0,33,30,True,10
6424,2562,589,196.0,33,34,True,10
6427,2563,585,218.0,33,31,True,10
6430,2564,582,242.0,35,31,True,10
6432,2565,577,268.0,37,36,True,10
6434,2566,574,296.0,38,36,True,10
6437,2567,571,328.0,38,39,True,10
6438,2568,567,365.0,40,32,True,10
6440,2569,564,399.0,40,40,True,10
6443,2570,561,439.0,40,42,True,10
6445,2571,557,439.0,39,48,True,10
6447,2572,552,418.0,40,39,True,10
6450,2573,547,389.0,40,40,True,10
6454,2574,538,338.0,40,39,True,10
6456,2575,533,315.0,41,37,True,10
6460,2576,529,292.0,40,37,True,10
6462,2577,525,273.0,40,39,True,10
6465,2578,521,254.0,41,38,True,10
6467,2579,517,237.0,41,39,True,10
6469,2580,513,221.0,41,40,True,10
6472,2581,510,210.0,40,38,True,10
6475,2582,506,198.0,40,37,True,10
6480,2583,502,191.0,41,31,True,10
6488,2584,498,178.0,41,34,True,10
6520,2591,475,165.0,43,34,True,10
6526,2592,475,163.0,38,44,True,10
6530,2593,477,169.0,33,39,True,10
6882,2731,218,348.0,22,26,True,11
6890,2737,233,303.0,22,21,True,11
6903,2743,248,207.0,29,28,True,11
6905,2744,266,186.0,28,28,True,11
6907,2745,282,167.0,29,27,True,11
6908,2746,315,132.0,28,29,True,11
6910,2747,329,117.0,30,28,True,11
6913,2748,345,103.0,30,29,True,11
6916,2749,361,91.0,29,28,True,11
6918,2750,376,79.0,30,30,True,11
6920,2751,391,70.0,30,28,True,11
6921,2752,405,62.0,31,26,True,11
6922,2753,425,53.0,25,28,True,11
6923,2754,440,47.0,26,29,True,11
6924,2755,456,41.0,23,28,True,11
6925,2756,470,37.0,19,26,True,11
6926,2757,483,34.0,20,28,True,11
6927,2758,503,32.0,18,28,True,11
6928,2759,512,31.0,25,27,True,11
6929,2760,528,31.0,26,26,True,11
6930,2761,545,35.0,25,26,True,11
6931,2762,559,35.0,25,24,True,11
6933,2763,573,39.0,26,30,True,11
6935,2764,591,44.0,24,29,True,11
6938,2765,604,51.0,26,19,True,11
6940,2766,622,57.0,23,27,True,11
6942,2767,634,66.0,27,26,True,11
6944,2768,649,76.0,25,26,True,11
6946,2769,665,89.0,23,24,True,11
6948,2770,680,99.0,28,24,True,11
6950,2771,697,111.0,25,31,True,11
6954,2773,717,134.0,26,29,True,11
6956,2774,714,144.0,32,28,True,11
6957,2775,715,152.0,30,30,True,11
6958,2776,721,166.0,25,24,True,11
6959,2777,725,173.0,20,25,True,11
6960,2778,723,180.0,24,30,True,11
6962,2779,717,191.0,31,31,True,11
6964,2780,717,205.0,30,29,True,11
6966,2781,719,216.0,29,32,True,11
6968,2782,719,232.0,31,31,True,11
6970,2783,720,250.0,31,32,True,11
6973,2784,720,268.0,33,32,True,11
6975,2785,721,289.0,32,33,True,11
6977,2786,723,313.0,28,27,True,11
6980,2787,725,336.0,33,32,True,11
6981,2788,725,363.0,35,27,True,11
6983,2789,727,392.0,33,32,True,11
6985,2790,730,423.0,35,35,True,11
6987,2792,723,428.0,35,30,True,11
